sample,position_1_1,position_2_1,position_3_1,position_4,position_5
9-4-003,1,,11,99,286
9-4-004,1,10,,89,279
9-4-005,4,,18,81,312
10-1-001,3,,23,162,486
10-1-002,0,,14.6,67,503
10-1-003,0,9,42,151,362
10-1-004,1,6,30,143,323
10-1-005,1,9,27,123,252
10-1-006,2,,14,127,267
10-1-007,2,,16,130,266
10-1-008,1,,16,131,272
10-1-009,2,,27,136,259
10-1-010,1,,17,119,247
10-1-011,1,7,,109,219
10-1-012,1,8,,89,189
10-1-013,3,,20,99,186
10-1-014,2,,16,75,164
10-1-015,0,5,,98,
10-1-016,2,,,91,
10-2-001,3,,25,137,308
10-2-002,1,,12,116,294
10-2-003,1,,19,114,250
10-2-004,1,,13,143,317
10-2-005,1,7,34,117,252
10-2-006,4,,45,154,302
10-2-007,4,,32,138,269
10-2-008,1,5,24,128,248
10-2-009,1,7,32,162,307
10-2-010,4,,20,130,256
10-2-011,2,,19,115,216
10-2-012,4,,36,175,
10-2-013,2,,14,146,
10-2-014,1,,,111,
10-2-015,4,,,113,
10-2-016,4,,,71,
10-2-017,0,5,,63,
10-3-001,1,,31,128,349
10-3-002,1,,23,92,246
10-3-003,1,,30,95,246
10-3-004,1,,28,118,252
10-3-005,1,,48,141,281
10-3-006,2,6,33,114,240
10-3-007,4,,25,93,212
10-3-008,0,,19,77,177
10-3-009,1,,12,68,172
10-3-010,4,,23,87,175
10-3-011,4,,16,74,158
10-3-012,1,,,122,
10-3-013,1,,,98,
10-3-014,1,,,73,
10-3-015,1,7,37,60,
10-4-001,0,,,159,567
10-4-002,1,,50,209,466
10-4-003,1,,21,123,310
10-4-004,4,,25,128,269
10-4-005,1,,19,104,226
10-4-006,1,,13,93,219
10-4-007,2,,14,99,208
10-4-008,4,,20,102,215
10-4-009,4,,20,116,213
10-4-010,2,,13,89,183
10-4-011,2,,,133,
10-4-012,1,8,,81,160
10-4-013,1,,,125,
10-4-014,2,,,119,
10-4-015,3,,,65,
10-4-016,2,,,50,
12-1-001,0,,44,231,1075
12-1-002,4,,86,326,988
12-1-003,2,,36,154,360
12-1-004,0,10,,98,244
12-1-005,2,,14,108,246
12-1-006,0,8,,82,210
12-1-007,,6,,160,
12-1-008,0,,,102,144
12-1-009,,8,,132,
12-1-010,2,,,152,
12-1-011,0,8,30,157,
12-1-012,4,,,150,
12-1-013,4,,,160,
12-2-001,2,,32,294,856
12-2-002,2,,,,602
12-2-003,0,,,116,284
12-2-004,2,,16,116,272
12-2-005,2,,20,116,250
12-2-006,2,,,196,
12-2-007,2,,,189,
12-2-008,2,,22,189,
12-2-009,2,,42,176,
12-2-010,2,,,193,
12-2-011,2,,,168,
12-3-001,2,,,,402
12-3-002,2,8,,122,312
12-3-003,0,6,24,102,236
12-3-004,4,,,104,212
12-3-005,0,8,,56,170
12-3-006,0,8,,106,212
12-3-007,,6,,155,
12-3-008,0,6,18,106,231
12-3-009,,6,,143,
12-3-010,,8,,147,
12-3-011,2,10,,162,
12-4-001,2,,26,138,328
12-4-002,2,,18,112,300
12-4-003,0,8,,96,232
12-4-004,0,8,,112,240
12-4-005,0,6,,78,192
12-4-006,,8,,136,
12-4-007,0,6,12,96,202
12-4-008,0,,14,166,
12-4-009,,6,,161,
12-4-010,0,8,46,169,
