,sample,position_1_1,position_2_1,position_3_1,position_4,position_5
90,2-4-012,9.499999999999996,,97.82608695652173,144.0263157894737,
91,2-4-013,12.384615384615373,,99.62962962962962,138.06060606060606,
92,2-4-014,10.642857142857142,,85.47916666666666,111.28947368421053,
93,4-1-001,6.979166666666675,,78.02884615384616,208.4318181818182,
94,4-1-002,5.624999999999991,,111.72169811320755,167.01923076923077,
95,4-1-003,5.500000000000005,,,119.95098039215686,
96,4-1-004,3.928571428571406,,79.63888888888889,,
97,4-1-005,7.749999999999979,,,138.31632653061223,
98,4-1-006,3.333333333333341,,99.30232558139535,143.1547619047619,
99,4-1-007,6.914062499999984,,,112.11309523809524,
100,4-1-008,5.39062500000001,,,96.82291666666666,
101,4-1-009,10.250000000000004,,,105.36290322580645,
102,4-1-010,4.640625000000009,,,91.703125,
103,4-1-011,5.58333333333334,,74.5078125,107.86016949152543,
104,4-1-012,7.153846153846172,,,87.16216216216218,
105,4-1-013,3.699999999999992,,,75.94897959183673,
106,4-1-014,1.937500000000003,,,75.65625,
107,4-1-015,13.767857142857146,,82.09821428571429,,453.0
108,4-1-016,3.204545454545454,,62.98295454545454,,
109,4-2-001,9.531249999999991,,167.81249999999997,546.3888888888889,628.8709677419355
110,4-2-002,9.117647058823565,,162.7884615384615,,564.9074074074074
111,4-2-003,6.749999999999979,,,153.4943181818182,
112,4-2-004,5.97222222222224,,,180.71875,
113,4-2-005,2.375000000000016,,,156.275,
114,4-2-006,5.104166666666687,,119.75833333333331,150.13541666666666,
115,4-2-007,4.593749999999999,,,134.5683962264151,
116,4-2-008,7.388888888888897,,,130.96428571428572,
117,4-2-009,6.920454545454565,,,103.2156862745098,
118,4-2-010,4.265625000000006,,,116.39215686274508,
119,4-2-011,7.29166666666666,,,106.54,
120,4-2-012,5.687500000000015,,,107.66666666666667,
121,4-2-013,8.541666666666666,,94.08072916666667,129.81048387096774,
122,4-2-014,3.2083333333333295,,88.71739130434783,117.32777777777777,
123,4-2-015,5.177083333333327,,,90.58764367816092,
124,4-3-001,8.79545454545454,,128.15625000000003,,381.75
125,4-3-002,7.1666666666666545,,,129.72,
126,4-3-003,9.65625000000001,,,164.85,
127,4-3-004,14.590909090909093,,,149.1228813559322,
128,4-3-005,12.46153846153844,,,123.3,
129,4-3-006,6.750000000000023,,,129.50943396226415,
130,4-3-007,11.307692307692307,,,135.0,
131,4-3-008,5.321428571428566,,,88.80357142857143,
132,4-3-009,6.333333333333341,,100.55357142857143,138.55102040816325,
133,4-3-010,9.50000000000002,,,96.88461538461539,
134,4-3-011,6.525000000000015,,,100.38461538461537,
135,4-3-012,17.95588235294118,,,96.28125,
136,4-3-013,6.234374999999992,,78.30722891566265,352.5,
137,4-3-014,4.232142857142854,,78.38297872340426,,
138,4-3-015,11.447368421052634,,66.26162790697674,81.53289473684211,
139,4-4-001,10.821428571428559,,133.66666666666669,,401.7155172413793
140,4-4-002,7.500000000000007,,100.359375,223.02439024390245,
141,4-4-003,5.75,,,160.4387755102041,
142,4-4-004,6.937499999999986,,,152.1,
143,4-4-005,5.666666666666654,,,136.38297872340425,
144,4-4-006,3.611111111111093,,,146.04166666666666,
145,4-4-007,17.326388888888903,,,123.30882352941177,
146,4-4-008,6.406250000000016,,,113.83928571428571,
147,4-4-009,4.312500000000011,,,101.05357142857142,
148,4-4-010,7.102272727272735,,,99.35897435897436,
149,4-4-011,10.93749999999999,,,104.57446808510639,475.0
150,4-4-012,5.468749999999995,,,92.26785714285714,
151,5-1-001,7.421874999999995,,92.32954545454544,,306.2936046511628
152,5-1-002,7.937500000000042,,96.41666666666667,,300.4296875
153,5-1-003,10.68749999999999,,,121.35670731707317,
